devicename,date,CO2,Soil EC,Soil Moisture,Soil Nitrogen,Soil Phosphorus,Soil Potassium,Soil Temperature,Soil pH,Soil EC Category,Soil Moisture Category,Soil pH Category,N Category,P Category,K Category,NPK Ratio,NPK Status,Optimal Plant,NPK - Plant Readiness,C_N_Ratio,C_N_Status,feeding_description,Feeding Category,Browns (g),Greens (g)
Centre 03 West Tank 0,2024-08-26,2886.0,3676.0,88.5,728.0,1730.0,1736.0,29.6,6.1,High,High,Optimal,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,4:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-08-27,1651.0,3406.0,87.7,672.0,1599.0,1604.0,27.7,5.6,High,High,Low,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,2:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-08-28,2313.0,3367.0,87.7,664.0,1581.0,1585.0,28.9,6.3,High,High,Optimal,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,3:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-08-29,2353.0,3425.0,86.6,676.0,1609.0,1614.0,29.4,6.5,High,High,Optimal,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,3:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-08-30,1549.0,3270.0,88.2,644.0,1534.0,1538.0,29.4,6.4,High,High,Optimal,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,2:1,Unbalanced,,,0,0
Centre 03 West Tank 0,2024-08-31,1829.0,3174.0,85.3,623.0,1488.0,1491.0,29.7,7.0,High,High,Optimal,Optimal,Optimal,Optimal,1.0 : 2.4 : 2.4,Unbalanced,Not Done Composting,Not Done Composting,3:1,Unbalanced,,,0,0
NDS008,2024-07-15,459.0,322.0,15.2,28.0,112.0,105.0,27.8,8.4,Low,High,High,Low,Low,Low,1.0 : 4.0 : 3.8,Unbalanced,Not Done Composting,Not Done Composting,16:1,"Lady-Finger Optimal, Long Bean Optimal",,,0,0
NDS008,2024-07-16,464.0,339.0,15.3,32.0,120.0,113.0,27.8,7.9,Low,High,High,Low,Low,Low,1.0 : 3.8 : 3.5,Unbalanced,Not Done Composting,Not Done Composting,14:1,"Lady-Finger Optimal, Long Bean Optimal",,,0,0
NDS008,2024-07-17,476.0,344.0,13.8,33.0,123.0,116.0,27.8,7.8,Low,High,High,Low,Low,Low,1.0 : 3.7 : 3.5,Unbalanced,Not Done Composting,Not Done Composting,14:1,"Lady-Finger Optimal, Long Bean Optimal",,,0,0
NDS008,2024-07-18,548.0,245.0,9.9,12.0,75.0,67.0,29.0,8.5,Low,High,High,Low,Low,Low,1.0 : 6.2 : 5.6,Unbalanced,Not Done Composting,Not Done Composting,46:1,Unbalanced,500g of dried leaves,Unknown,0,0
NDS008,2024-07-19,535.0,251.0,9.5,13.0,78.0,70.0,29.0,8.7,Low,High,High,Low,Low,Low,1.0 : 6.0 : 5.4,Unbalanced,Not Done Composting,Not Done Composting,41:1,Unbalanced,,,0,0
NDS008,2024-07-20,537.0,252.0,9.5,14.0,78.0,71.0,29.2,8.4,Low,High,High,Low,Low,Low,1.0 : 5.6 : 5.1,Unbalanced,Not Done Composting,Not Done Composting,38:1,Unbalanced,,,0,0
NDS008,2024-07-21,533.0,252.0,12.0,14.0,78.0,71.0,29.1,8.5,Low,High,High,Low,Low,Low,1.0 : 5.6 : 5.1,Unbalanced,Not Done Composting,Not Done Composting,38:1,Unbalanced,,,0,0
NDS008,2024-07-22,623.0,271.0,11.1,18.0,87.0,80.0,28.8,8.5,Low,High,High,Low,Low,Low,1.0 : 4.8 : 4.4,Unbalanced,Not Done Composting,Not Done Composting,35:1,Unbalanced,,,0,0
NDS008,2024-07-23,595.0,274.0,9.5,18.0,89.0,82.0,28.7,8.8,Low,High,High,Low,Low,Low,1.0 : 4.9 : 4.6,Unbalanced,Not Done Composting,Not Done Composting,33:1,Unbalanced,,,0,0
NDS008,2024-07-24,577.0,274.0,8.7,18.0,89.0,82.0,28.4,8.8,Low,High,High,Low,Low,Low,1.0 : 4.9 : 4.6,Unbalanced,Not Done Composting,Not Done Composting,32:1,Unbalanced,"3g of dried radish tops, 8g of crushed eggshells, 1g of fresh mint leaves, 3g of dried mango skins, 3g of dried chye sim",Green,0,12
NDS008,2024-07-25,618.0,399.0,17.7,44.0,149.0,142.0,28.8,6.2,Low,High,Optimal,Low,Low,Low,1.0 : 3.4 : 3.2,Unbalanced,Not Done Composting,Not Done Composting,14:1,"Lady-Finger Optimal, Long Bean Optimal",,,0,0
NDS008,2024-07-26,658.0,395.0,18.1,44.0,147.0,140.0,28.9,5.9,Low,High,Low,Low,Low,Low,1.0 : 3.3 : 3.2,Unbalanced,Not Done Composting,Not Done Composting,15:1,"Lady-Finger Optimal, Long Bean Optimal","40g of distilled water, 1g of dried radish tops, 5g of crushed eggshells, 20g of coffee grounds, 5g of dried chye sim",Mixed,20,10
NDS008,2024-07-27,639.0,381.0,19.9,41.0,140.0,134.0,29.0,5.4,Low,High,Low,Low,Low,Low,1.0 : 3.4 : 3.3,Unbalanced,Not Done Composting,Not Done Composting,16:1,"Lady-Finger Optimal, Long Bean Optimal",,,0,0
NDS008,2024-07-28,616.0,383.0,19.4,41.0,141.0,134.0,29.1,5.6,Low,High,Low,Low,Low,Low,1.0 : 3.4 : 3.3,Unbalanced,Not Done Composting,Not Done Composting,15:1,"Lady-Finger Optimal, Long Bean Optimal",,,0,0
NDS008,2024-07-29,554.0,607.0,29.4,88.0,249.0,243.0,28.9,6.6,Low,High,Optimal,Low,Low,Low,1.0 : 2.8 : 2.8,Unbalanced,Not Done Composting,Not Done Composting,6:1,Unbalanced,,,0,0
NDS008,2024-07-30,488.0,607.0,29.1,88.0,249.0,243.0,29.0,6.7,Low,High,Optimal,Low,Low,Low,1.0 : 2.8 : 2.8,Unbalanced,Not Done Composting,Not Done Composting,6:1,Unbalanced,,,0,0
NDS008,2024-07-31,542.0,587.0,28.7,84.0,240.0,234.0,27.2,6.7,Low,High,Optimal,Low,Low,Low,1.0 : 2.9 : 2.8,Unbalanced,Not Done Composting,Not Done Composting,6:1,Unbalanced,200g of water,Unknown,0,0
NDS008,2024-08-01,807.0,600.0,33.9,86.0,246.0,240.0,28.4,5.0,Low,High,Low,Low,Low,Low,1.0 : 2.9 : 2.8,Unbalanced,Not Done Composting,Not Done Composting,9:1,Unbalanced,,,0,0
NDS008,2024-08-02,723.0,544.0,33.9,75.0,219.0,213.0,28.5,5.2,Low,High,Low,Low,Low,Low,1.0 : 2.9 : 2.8,Unbalanced,Not Done Composting,Not Done Composting,10:1,"Lady-Finger Optimal, Spinach Optimal, Long Bean Optimal",,,0,0
NDS008,2024-08-03,659.0,545.0,33.9,75.0,220.0,213.0,29.0,5.2,Low,High,Low,Low,Low,Low,1.0 : 2.9 : 2.8,Unbalanced,Not Done Composting,Not Done Composting,9:1,Unbalanced,,,0,0
NDS008,2024-08-04,673.0,527.0,33.9,71.0,211.0,205.0,27.1,4.6,Low,High,Low,Low,Low,Low,1.0 : 3.0 : 2.9,Unbalanced,Not Done Composting,Not Done Composting,9:1,Unbalanced,500g of dried leaves,Unknown,0,0
NDS008,2024-08-05,660.0,539.0,31.0,74.0,217.0,210.0,27.9,5.1,Low,High,Low,Low,Low,Low,1.0 : 2.9 : 2.8,Unbalanced,Not Done Composting,Not Done Composting,9:1,Unbalanced,,,0,0
NDS008,2024-08-12,622.0,693.0,39.1,106.0,291.0,285.0,28.0,5.0,Low,High,Low,High,Low,Low,1.0 : 2.7 : 2.7,Unbalanced,Not Done Composting,Not Done Composting,6:1,Unbalanced,,,0,0
NDS008,2024-08-13,585.0,739.0,39.2,115.0,313.0,308.0,28.2,5.2,Low,High,Low,High,High,High,1.0 : 2.7 : 2.7,Unbalanced,Not Done Composting,Not Done Composting,5:1,Unbalanced,,,0,0
NDS008,2024-08-14,509.0,759.0,41.1,119.0,323.0,317.0,26.9,5.1,Low,High,Low,High,High,High,1.0 : 2.7 : 2.7,Unbalanced,Not Done Composting,Not Done Composting,4:1,Unbalanced,500g of dried leaves,Unknown,0,0
NDS008,2024-08-15,571.0,804.0,40.5,129.0,345.0,339.0,28.1,4.3,Optimal,High,Low,High,High,High,1.0 : 2.7 : 2.6,Unbalanced,Not Done Composting,Not Done Composting,4:1,Unbalanced,,,0,0
NDS008,2024-08-16,530.0,818.0,42.9,132.0,351.0,346.0,28.3,5.0,Optimal,High,Low,High,High,High,1.0 : 2.7 : 2.6,Unbalanced,Not Done Composting,Not Done Composting,4:1,Unbalanced,,,0,0
NDS008,2024-08-17,539.0,825.0,41.6,133.0,355.0,349.0,28.2,3.0,Optimal,High,Low,High,High,High,1.0 : 2.7 : 2.6,Unbalanced,Not Done Composting,Not Done Composting,4:1,Unbalanced,"45g of distilled water, 4g of crushed eggshells, 10g of coffee grounds, 5g of fresh mint leaves, 1g of dried mango skins, 5g of dried chye sim",Mixed,10,14
NDS008,2024-08-18,477.0,840.0,42.0,136.0,362.0,357.0,28.3,4.4,Optimal,High,Low,High,High,High,1.0 : 2.7 : 2.6,Unbalanced,Not Done Composting,Not Done Composting,4:1,Unbalanced,"5g of dried radish tops, 6g of crushed eggshells, 4g of fresh mint leaves, 4g of dried mango skins",Green,0,10
NDS008,2024-08-19,469.0,893.0,43.9,147.0,387.0,382.0,28.7,3.0,Optimal,High,Low,High,High,High,1.0 : 2.6 : 2.6,Unbalanced,Not Done Composting,Not Done Composting,3:1,Unbalanced,200g of water,Unknown,0,0
NDS008,2024-08-20,504.0,873.0,44.7,143.0,378.0,373.0,27.2,3.4,Optimal,High,Low,High,High,High,1.0 : 2.6 : 2.6,Unbalanced,Not Done Composting,Not Done Composting,4:1,Unbalanced,"5g of dried radish tops, 5g of fresh mint leaves, 4g of dried mango skins, 1g of dried chye sim",Green,0,6
NDS008,2024-08-21,548.0,879.0,43.2,145.0,381.0,376.0,27.6,3.9,Optimal,High,Low,High,High,High,1.0 : 2.6 : 2.6,Unbalanced,Not Done Composting,Not Done Composting,4:1,Unbalanced,,,0,0
NDS008,2024-08-22,397.0,730.0,35.9,113.0,309.0,303.0,27.6,3.0,Low,High,Low,High,High,High,1.0 : 2.7 : 2.7,Unbalanced,Not Done Composting,Not Done Composting,4:1,Unbalanced,,,0,0
NDS008,2024-08-29,1358.0,682.0,35.1,103.0,286.0,280.0,29.4,6.0,Low,High,Optimal,High,Low,Low,1.0 : 2.8 : 2.7,Unbalanced,Not Done Composting,Not Done Composting,13:1,"Lady-Finger Optimal, Long Bean Optimal","50g of distilled water, 1g of dried radish tops, 6g of crushed eggshells, 1g of fresh mint leaves, 5g of dried chye sim",Green,0,12
NDS008,2024-08-30,1361.0,725.0,34.9,112.0,306.0,301.0,30.1,6.2,Low,High,Optimal,High,High,High,1.0 : 2.7 : 2.7,Unbalanced,Not Done Composting,Not Done Composting,12:1,"Lady-Finger Optimal, Spinach Optimal, Long Bean Optimal",500g of dried leaves,Unknown,0,0
NDS008,2024-08-31,1305.0,788.0,33.8,126.0,337.0,331.0,30.1,6.1,Low,High,Optimal,High,High,High,1.0 : 2.7 : 2.6,Unbalanced,Not Done Composting,Not Done Composting,10:1,"Lady-Finger Optimal, Spinach Optimal, Long Bean Optimal",,,0,0
NDS010,2024-07-23,763.0,186.0,24.5,0.0,46.0,39.0,28.9,5.3,Low,High,Low,Low,Low,Low,1.0 : 4600.0 : 3900.0,Unbalanced,Not Done Composting,Not Done Composting,,Unknown,,,0,0
NDS010,2024-07-24,598.0,182.0,24.5,0.0,45.0,37.0,28.6,5.0,Low,High,Low,Low,Low,Low,1.0 : 4500.0 : 3700.0,Unbalanced,Not Done Composting,Not Done Composting,,Unknown,"40g of distilled water, 5g of fresh mint leaves, 2g of dried mango skins",Green,0,5
NDS010,2024-07-25,624.0,135.0,20.7,0.0,22.0,14.0,28.5,5.1,Low,High,Low,Low,Low,Low,1.0 : 2200.0 : 1400.0,Unbalanced,Not Done Composting,Not Done Composting,,Unknown,,,0,0
NDS010,2024-07-26,591.0,134.0,20.6,0.0,21.0,13.0,28.6,4.8,Low,High,Low,Low,Low,Low,1.0 : 2100.0 : 1300.0,Unbalanced,Not Done Composting,Not Done Composting,,Unknown,"2g of dried radish tops, 8g of crushed eggshells",Green,0,8
NDS010,2024-07-27,589.0,134.0,20.7,0.0,21.0,13.0,28.7,4.7,Low,High,Low,Low,Low,Low,1.0 : 2100.0 : 1300.0,Unbalanced,Not Done Composting,Not Done Composting,,Unknown,,,0,0
NDS010,2024-07-28,488.0,137.0,21.4,0.0,23.0,15.0,28.8,4.7,Low,High,Low,Low,Low,Low,1.0 : 2300.0 : 1500.0,Unbalanced,Not Done Composting,Not Done Composting,,Unknown,,,0,0
NDS010,2024-07-29,692.0,168.0,22.9,0.0,38.0,30.0,28.6,5.1,Low,High,Low,Low,Low,Low,1.0 : 3800.0 : 3000.0,Unbalanced,Not Done Composting,Not Done Composting,,Unknown,,,0,0
NDS010,2024-07-30,608.0,177.0,24.4,0.0,42.0,34.0,28.7,5.2,Low,High,Low,Low,Low,Low,1.0 : 4200.0 : 3400.0,Unbalanced,Not Done Composting,Not Done Composting,,Unknown,,,0,0
NDS010,2024-07-31,750.0,176.0,22.9,0.0,42.0,34.0,27.1,5.1,Low,High,Low,Low,Low,Low,1.0 : 4200.0 : 3400.0,Unbalanced,Not Done Composting,Not Done Composting,,Unknown,200g of water,Unknown,0,0
NDS010,2024-08-01,925.0,554.0,87.6,77.0,224.0,218.0,28.1,5.6,Low,High,Low,Low,Low,Low,1.0 : 2.9 : 2.8,Unbalanced,Not Done Composting,Not Done Composting,12:1,"Lady-Finger Optimal, Spinach Optimal, Long Bean Optimal",,,0,0
NDS010,2024-08-02,678.0,591.0,86.6,84.0,242.0,236.0,28.2,5.8,Low,High,Low,Low,Low,Low,1.0 : 2.9 : 2.8,Unbalanced,Not Done Composting,Not Done Composting,8:1,Unbalanced,,,0,0
NDS010,2024-08-03,766.0,644.0,85.0,95.0,267.0,261.0,28.7,5.8,Low,High,Low,Low,Low,Low,1.0 : 2.8 : 2.7,Unbalanced,Not Done Composting,Not Done Composting,8:1,Unbalanced,,,0,0
NDS010,2024-08-04,844.0,605.0,89.5,87.0,249.0,242.0,26.9,5.8,Low,High,Low,Low,Low,Low,1.0 : 2.9 : 2.8,Unbalanced,Not Done Composting,Not Done Composting,10:1,"Lady-Finger Optimal, Spinach Optimal, Long Bean Optimal",500g of dried leaves,Unknown,0,0
NDS010,2024-08-05,818.0,558.0,81.2,78.0,226.0,220.0,27.6,5.8,Low,High,Low,Low,Low,Low,1.0 : 2.9 : 2.8,Unbalanced,Not Done Composting,Not Done Composting,10:1,"Lady-Finger Optimal, Spinach Optimal, Long Bean Optimal",,,0,0
NDS010,2024-08-12,526.0,478.0,83.4,61.0,187.0,181.0,27.7,5.4,Low,High,Low,Low,Low,Low,1.0 : 3.1 : 3.0,Unbalanced,Not Done Composting,Not Done Composting,9:1,Unbalanced,,,0,0
NDS010,2024-08-13,666.0,495.0,82.3,64.0,195.0,189.0,28.0,5.4,Low,High,Low,Low,Low,Low,1.0 : 3.0 : 3.0,Unbalanced,Not Done Composting,Not Done Composting,10:1,"Lady-Finger Optimal, Spinach Optimal, Long Bean Optimal",,,0,0
NDS010,2024-08-14,745.0,491.0,89.2,64.0,194.0,187.0,26.8,5.4,Low,High,Low,Low,Low,Low,1.0 : 3.0 : 2.9,Unbalanced,Not Done Composting,Not Done Composting,12:1,"Lady-Finger Optimal, Spinach Optimal, Long Bean Optimal",500g of dried leaves,Unknown,0,0
NDS010,2024-08-15,702.0,485.0,88.5,62.0,191.0,184.0,27.8,5.4,Low,High,Low,Low,Low,Low,1.0 : 3.1 : 3.0,Unbalanced,Not Done Composting,Not Done Composting,11:1,"Lady-Finger Optimal, Spinach Optimal, Long Bean Optimal",,,0,0
NDS010,2024-08-16,571.0,510.0,85.5,68.0,203.0,196.0,28.1,5.4,Low,High,Low,Low,Low,Low,1.0 : 3.0 : 2.9,Unbalanced,Not Done Composting,Not Done Composting,8:1,Unbalanced,,,0,0
NDS010,2024-08-17,594.0,485.0,80.5,62.0,191.0,184.0,28.0,5.6,Low,High,Low,Low,Low,Low,1.0 : 3.1 : 3.0,Unbalanced,Not Done Composting,Not Done Composting,10:1,"Lady-Finger Optimal, Spinach Optimal, Long Bean Optimal","5g of dried radish tops, 7g of crushed eggshells, 5g of dried mango skins",Green,0,7
NDS010,2024-08-18,652.0,463.0,78.8,58.0,180.0,173.0,28.1,5.6,Low,High,Low,Low,Low,Low,1.0 : 3.1 : 3.0,Unbalanced,Not Done Composting,Not Done Composting,11:1,"Lady-Finger Optimal, Spinach Optimal, Long Bean Optimal","40g of distilled water, 3g of dried radish tops, 15g of coffee grounds, 1g of dried chye sim",Mixed,15,1
NDS010,2024-08-19,631.0,494.0,81.6,64.0,195.0,188.0,28.4,5.4,Low,High,Low,Low,Low,Low,1.0 : 3.0 : 2.9,Unbalanced,Not Done Composting,Not Done Composting,10:1,"Lady-Finger Optimal, Spinach Optimal, Long Bean Optimal",200g of water,Unknown,0,0
NDS010,2024-08-20,618.0,487.0,85.2,63.0,192.0,185.0,26.9,5.4,Low,High,Low,Low,Low,Low,1.0 : 3.0 : 2.9,Unbalanced,Not Done Composting,Not Done Composting,10:1,"Lady-Finger Optimal, Spinach Optimal, Long Bean Optimal","1g of dried radish tops, 5g of dried mango skins, 2g of dried chye sim",Green,0,2
